"Cod mes","Cod anio","Cod municipio","Cod comunidad","Comunidad Aut","Cod provincia","Provincia","Municipio","total Paro Registrado","Paro hombre edad < 25","Paro hombre edad 25 -45","Paro hombre edad >=45","Paro mujer edad < 25","Paro mujer edad 25 -45","Paro mujer edad >=45","Paro Agricultura","Paro Industria","Paro Construcci�n","Paro Servicios","Paro Sin empleo Anterior","total Paro Registrado_Min_value","Cod min_mes","total Paro Registrado_Max_value","Cod max_mes"
201101,"2011","45168",8,"Castilla - La Mancha",45,"Toledo","Toledo",5761.67,432.17,1651.25,739.42,354.92,1796.58,787.33,113.67,395,581.5,4392.08,279.42,5437,"201105",6061,"201111"
201101,"2011","45169",8,"Castilla - La Mancha",45,"Toledo","Torralba de Oropesa",34.08,1.33,7.5,5.25,4,5,11,4.33,0.08,6,21.92,1.75,28,"201107",38,"201101"
201101,"2011","45170",8,"Castilla - La Mancha",45,"Toledo","Torrecilla de la Jara",25.75,4.83,6.92,4.17,0.08,7.08,2.67,1.25,0.17,5.83,17.83,0.67,16,"201102",32,"201107"
201101,"2011","45171",8,"Castilla - La Mancha",45,"Toledo","Torre de Esteban Hambr�n, La",127.25,9.33,33,19.67,7.33,36.75,21.17,2.92,22.5,20.25,73.25,8.33,113,"201107",141,"201112"
201101,"2011","45172",8,"Castilla - La Mancha",45,"Toledo","Torrico",76.75,6.08,21.67,18,5.5,11.58,13.92,1.5,4.25,22.17,40.08,8.75,70,"201110",87,"201102"
201101,"2011","45173",8,"Castilla - La Mancha",45,"Toledo","Torrijos",1326.92,93,331.08,201.92,82.17,396.83,221.92,25.58,171.25,215.5,817.83,96.75,1246,"201101",1409,"201111"
201101,"2011","45174",8,"Castilla - La Mancha",45,"Toledo","Totan�s",34.33,2,6.08,6.5,2.92,12.67,4.17,2.17,6,3.33,22.58,0.25,26,"201101",40,"201104"
201101,"2011","45175",8,"Castilla - La Mancha",45,"Toledo","Turleque",71.92,4.08,19.83,17.08,4.5,16,10.42,8.83,6.83,14.42,37.08,4.75,60,"201109",83,"201102"
201101,"2011","45176",8,"Castilla - La Mancha",45,"Toledo","Ugena",559.42,36.08,122,83.67,26.17,202,89.5,4.33,75.17,79.83,387.67,12.42,536,"201107",587,"201111"
201101,"2011","45177",8,"Castilla - La Mancha",45,"Toledo","Urda",329.33,21.75,64.5,69.75,21.33,94.42,57.58,41.75,37.75,70.25,172,7.58,301,"201109",357,"201110"
201101,"2011","45179",8,"Castilla - La Mancha",45,"Toledo","Valdeverdeja",48.92,4,13.25,7.33,4.83,12.67,6.83,1.5,3.75,13.33,24.5,5.83,44,"201112",59,"201102"
201101,"2011","45180",8,"Castilla - La Mancha",45,"Toledo","Valmojado",362.92,21.83,90.33,53.33,22.42,120.17,54.83,8.42,48.92,113.08,183.5,9,323,"201109",383,"201111"
